data/coint_results.txt
1: avg	[1.0000 2.0228 -4.0373 1.0124]
  stdev	[0.0000 0.1741 0.3154 0.1038]
2: avg	[1.0000 2.0201 -4.0296 1.0090]
  stdev	[0.0000 0.1411 0.2616 0.0903]
3: avg	[1.0000 2.0098 -4.0153 1.0038]
  stdev	[0.0000 0.1345 0.2602 0.0904]
4: avg	[1.0000 2.0078 -4.0136 1.0051]
  stdev	[0.0000 0.1369 0.2649 0.0911]
5: avg	[1.0000 2.0099 -4.0216 1.0084]
  stdev	[0.0000 0.1347 0.2661 0.0940]
6: avg	[1.0000 2.0088 -4.0177 1.0063]
  stdev	[0.0000 0.1352 0.2637 0.0927]
7: avg	[1.0000 2.0091 -4.0162 1.0035]
  stdev	[0.0000 0.1338 0.2610 0.0899]
8: avg	[1.0000 2.0078 -4.0170 1.0042]
  stdev	[0.0000 0.1301 0.2580 0.0907]
9: avg	[1.0000 2.0043 -4.0118 1.0037]
  stdev	[0.0000 0.1296 0.2509 0.0881]
