data/coint_results.txt
1: avg	[1.0000 2.1064 -4.0912 1.0375]
  stdev	[0.0000 0.5758 0.9961 0.3396]
2: avg	[1.0000 2.1191 -4.1528 1.0460]
  stdev	[0.0000 0.5152 0.9606 0.2972]
3: avg	[1.0000 2.1026 -4.1898 1.0563]
  stdev	[0.0000 0.7550 1.5251 0.4671]
4: avg	[1.0000 2.1118 -4.2289 1.0831]
  stdev	[0.0000 0.8904 1.8526 0.6019]
5: avg	[1.0000 2.0602 -4.1209 1.0567]
  stdev	[0.0000 0.5640 1.1347 0.4038]
6: avg	[1.0000 2.0460 -4.0950 1.0513]
  stdev	[0.0000 0.4389 0.8939 0.3181]
7: avg	[1.0000 2.0325 -4.0601 1.0392]
  stdev	[0.0000 0.3747 0.7357 0.2889]
8: avg	[1.0000 2.0145 -4.0217 1.0161]
  stdev	[0.0000 0.3557 0.6965 0.2699]
9: avg	[1.0000 2.0105 -4.0273 1.0185]
  stdev	[0.0000 0.3268 0.6722 0.2450]
