data/coint_results.txt
1: avg	[1.0000 1.9508 -3.9247 0.9974]
  stdev	[0.0000 1.0549 2.8357 0.8408]
2: avg	[1.0000 2.1426 -4.2905 1.0702]
  stdev	[0.0000 1.8107 3.5548 0.7159]
3: avg	[1.0000 1.9465 -3.8075 0.8723]
  stdev	[0.0000 1.8636 5.7889 3.4402]
4: avg	[1.0000 2.0024 -3.9998 1.0182]
  stdev	[0.0000 0.8269 1.9094 0.5657]
5: avg	[1.0000 2.0264 -4.0523 1.0286]
  stdev	[0.0000 0.6549 1.5085 0.4587]
6: avg	[1.0000 2.0885 -4.2353 1.1142]
  stdev	[0.0000 2.7450 6.9821 2.1834]
7: avg	[1.0000 2.0917 -4.1916 1.0419]
  stdev	[0.0000 1.3063 2.9472 0.3769]
8: avg	[1.0000 2.0607 -4.1128 1.0487]
  stdev	[0.0000 0.4664 0.9547 0.3195]
9: avg	[1.0000 2.1417 -4.2741 1.0832]
  stdev	[0.0000 0.7345 1.3936 0.4475]
