data/coint_results.txt
1: avg	[1.0000 5.8548 -10.1920 3.8366]
  stdev	[0.0000 77.7720 142.2293 69.0624]
2: avg	[1.0000 -0.8928 -0.1447 -0.4366]
  stdev	[0.0000 44.0941 65.9448 19.5906]
3: avg	[1.0000 3.0319 -5.3641 1.4232]
  stdev	[0.0000 14.3288 21.6794 8.0077]
4: avg	[1.0000 1.5318 -4.5323 0.9345]
  stdev	[0.0000 23.8500 61.4322 23.0109]
5: avg	[1.0000 6.4382 -12.4914 3.1420]
  stdev	[0.0000 62.0212 116.8788 27.8963]
6: avg	[1.0000 2.3694 -4.6854 1.2068]
  stdev	[0.0000 3.2598 6.2935 1.4660]
7: avg	[1.0000 2.2984 -4.5418 1.1005]
  stdev	[0.0000 3.8798 8.1548 2.3906]
8: avg	[1.0000 2.3150 -4.6221 1.1700]
  stdev	[0.0000 1.6279 3.5241 0.9964]
9: avg	[1.0000 2.2366 -4.7138 1.1402]
  stdev	[0.0000 5.1525 15.4249 3.1441]
