data/coint_results.txt
1: avg	[1.0000 2.0176 -4.0608 0.9463]
  stdev	[0.0000 0.6367 1.7098 0.7152]
2: avg	[1.0000 2.0875 -4.1732 1.0377]
  stdev	[0.0000 0.9879 1.8316 0.5556]
3: avg	[1.0000 2.0649 -4.1244 1.0220]
  stdev	[0.0000 0.6160 1.1050 0.2899]
4: avg	[1.0000 2.0377 -4.0750 1.0132]
  stdev	[0.0000 0.3107 0.5816 0.1977]
5: avg	[1.0000 2.0265 -4.0568 1.0092]
  stdev	[0.0000 0.2358 0.4503 0.1603]
6: avg	[1.0000 2.0203 -4.0459 1.0071]
  stdev	[0.0000 0.1962 0.3751 0.1376]
7: avg	[1.0000 2.0176 -4.0410 1.0072]
  stdev	[0.0000 0.1695 0.3245 0.1214]
8: avg	[1.0000 2.0158 -4.0376 1.0068]
  stdev	[0.0000 0.1505 0.2873 0.1084]
9: avg	[1.0000 2.0142 -4.0320 1.0055]
  stdev	[0.0000 0.1356 0.2582 0.0977]
